year_month,permno,ind_label,weight,tau,ur,industry_ppt,stock_demand_elasticity
199902,600613,C,0.12061043593871264,79.95622158021918,0.001508455921941053,0.032972112641174285,22.858187674948027
199902,600615,C,0.08031948375126814,88.70260864660918,0.0009054917885364638,0.032972112641174285,37.41348608413859
199902,600627,C,0.011780553338949425,168.0388695051529,7.01061211232927e-05,0.032972112641174285,471.317172207939
199902,600636,I,0.07841106613039983,181.36764153919037,0.0004323321705291987,0.0592140166300197,137.96416937360559
199902,600646,I,0.03424405919883075,38.18025523490749,0.0008969049313091561,0.0592140166300197,67.02039364817483
199902,600657,K,0.14851333073453063,43.69616737347611,0.0033987724704816857,0.05207831028460895,16.322682155663166
199902,600666,C,0.02121239016712415,18.385970449062803,0.0011537269803566675,0.032972112641174285,29.57878267784044
199902,600667,E,0.049630977769923465,79.28532828365988,0.00062597934377415,0.07599102238748476,122.39541526932861
199902,600669,C,0.154246744413735,43.020456530271346,0.0035854278837138625,0.032972112641174285,10.196144424196609
199902,600672,A,0.06443631857943351,49.899304418153996,0.0012913269900409828,0.09303425598130642,73.04546694896682
199902,600679,C,0.14152953688740116,117.8922118010518,0.0012004994623922942,0.032972112641174285,28.465328951892353
199902,600683,K,0.04807907677900669,28.9738519512967,0.0016593954045124796,0.05207831028460895,32.38390653788103
199902,600691,C,0.019774279931086092,99.63351450636289,0.00019847016366990897,0.032972112641174285,167.13133194172576
199902,600699,C,0.05887401294814383,36.21535668936795,0.0016256643128805073,0.032972112641174285,21.282239315908427
199902,600801,C,0.008157599639985396,92.33298354019686,8.834978928666386e-05,0.032972112641174285,374.199674921594
199902,600807,K,0.021776051960131368,69.20362326634942,0.0003146663560709844,0.05207831028460895,166.50326808011468
199902,600809,C,0.054220407036033584,65.78079573105406,0.000824258910726995,0.032972112641174285,41.00213065587964
199902,600818,C,0.12983210978637758,67.80917111483166,0.001914668881094461,0.032972112641174285,18.2207910029471
199903,600613,C,0.11840005381897133,79.89646648295155,0.0014819185256989523,0.032972112641174285,23.24961228932803
199903,600615,C,0.07709280260014607,88.82242689493913,0.0008679429879948329,0.032972112641174285,38.98880006778807
199903,600627,C,0.02071144007485632,166.792887261108,0.00012417460009810454,0.032972112641174285,266.5302502695766
199903,600636,I,0.06488604768697352,180.95296500655442,0.00035857963247313044,0.0592140166300197,166.13491360794677
199903,600646,I,0.03631103513595253,38.04175239199775,0.0009545047967766785,0.0592140166300197,63.03637407583794
199903,600657,K,0.1467460854872159,43.73758280642898,0.0033551485032146246,0.05207831028460895,16.52190915982164
