Industry,Valid_Months,Avg_Holdings,Avg_UR,Avg_Elasticity
A,0,1.0,,
B,5,1.08,0.00043505874935765725,16.33554974707391
C,269,13.230483271375464,0.0012094961093583015,181.2372273952989
D,71,1.588235294117647,0.0019502594755020372,231.33306080711185
E,14,1.1296296296296295,0.0011687335768416972,154.99831476766263
F,133,2.4925373134328357,0.0017343160356027329,219.76390024166454
G,90,1.5510204081632653,0.0011561096261839422,180.84852935557547
I,121,2.457286432160804,0.0010721399159619714,195.71682784524256
J,5,1.0632911392405062,0.0004369076333614874,267.6040499775736
K,103,1.837837837837838,0.0008368265582222513,272.9779761075117
L,3,1.030612244897959,0.001129272922292663,67.24807949642086
M,4,1.064516129032258,0.000596646025438507,343.6054437917327
N,14,1.1866666666666668,0.001841870735878563,138.7406004116273
R,56,1.854014598540146,0.0010787297705756984,168.0581266698301
S,3,1.0476190476190477,0.00028730471064680914,146.1430986188333
